,result,fb,fbassist,fbvictim,fbtime,fd,fdtime,herald,heraldtime,ft,fttime,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15,side_Blue,side_Red
10,0.0,1.0,1.0,0.0,2.623266667,0.0,13.84395,-9999.0,-9999.0,-9999.0,-9999.0,16294.0,15020.0,1274.0,24173.0,24228.0,-55.0,19103.0,17702.0,1401.0,354.0,331.0,23.0,560.0,572.0,-12.0,1,0
11,1.0,0.0,0.0,1.0,2.623266667,1.0,13.84395,-9999.0,-9999.0,-9999.0,-9999.0,15020.0,16294.0,-1274.0,24228.0,24173.0,55.0,17702.0,19103.0,-1401.0,331.0,354.0,-23.0,572.0,560.0,12.0,0,1
22,1.0,0.0,0.0,1.0,5.040316667,0.0,11.57186667,1.0,11.34468333,0.0,14.51493333,16029.0,16503.0,-474.0,25063.0,26465.0,-1402.0,19035.0,19811.0,-776.0,355.0,375.0,-20.0,561.0,600.0,-39.0,1,0
23,0.0,1.0,1.0,0.0,5.040316667,1.0,11.57186667,0.0,11.34468333,1.0,14.51493333,16503.0,16029.0,474.0,26465.0,25063.0,1402.0,19811.0,19035.0,776.0,375.0,355.0,20.0,600.0,561.0,39.0,0,1
34,1.0,1.0,1.0,0.0,1.9959,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,16349.0,15986.0,363.0,24473.0,24551.0,-78.0,19772.0,18473.0,1299.0,349.0,338.0,11.0,581.0,557.0,24.0,1,0
35,0.0,0.0,0.0,1.0,1.9959,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,15986.0,16349.0,-363.0,24551.0,24473.0,78.0,18473.0,19772.0,-1299.0,338.0,349.0,-11.0,557.0,581.0,-24.0,0,1
46,1.0,0.0,0.0,1.0,9.18115,1.0,9.122166667,-9999.0,-9999.0,1.0,13.95958333,14313.0,16177.0,-1864.0,22964.0,24276.0,-1312.0,17428.0,18589.0,-1161.0,322.0,331.0,-9.0,526.0,536.0,-10.0,1,0
47,0.0,1.0,1.0,0.0,9.18115,0.0,9.122166667,-9999.0,-9999.0,0.0,13.95958333,16177.0,14313.0,1864.0,24276.0,22964.0,1312.0,18589.0,17428.0,1161.0,331.0,322.0,9.0,536.0,526.0,10.0,0,1
58,0.0,0.0,0.0,1.0,8.459083332999999,1.0,9.000483333,1.0,12.99435,1.0,11.85475,16015.0,16662.0,-647.0,25668.0,25462.0,206.0,19143.0,20146.0,-1003.0,366.0,390.0,-24.0,572.0,609.0,-37.0,1,0
59,1.0,1.0,1.0,0.0,8.459083332999999,0.0,9.000483333,0.0,12.99435,0.0,11.85475,16662.0,16015.0,647.0,25462.0,25668.0,-206.0,20146.0,19143.0,1003.0,390.0,366.0,24.0,609.0,572.0,37.0,0,1
70,1.0,0.0,0.0,1.0,13.2924,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,15891.0,15576.0,315.0,24396.0,24724.0,-328.0,20075.0,19464.0,611.0,373.0,335.0,38.0,606.0,559.0,47.0,1,0
71,0.0,1.0,1.0,0.0,13.2924,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,15576.0,15891.0,-315.0,24724.0,24396.0,328.0,19464.0,20075.0,-611.0,335.0,373.0,-38.0,559.0,606.0,-47.0,0,1
82,1.0,1.0,1.0,0.0,1.697016667,1.0,14.63305,-9999.0,-9999.0,-9999.0,-9999.0,15469.0,15535.0,-66.0,24069.0,24434.0,-365.0,18088.0,18158.0,-70.0,329.0,325.0,4.0,562.0,574.0,-12.0,1,0
83,0.0,0.0,0.0,1.0,1.697016667,0.0,14.63305,-9999.0,-9999.0,-9999.0,-9999.0,15535.0,15469.0,66.0,24434.0,24069.0,365.0,18158.0,18088.0,70.0,325.0,329.0,-4.0,574.0,562.0,12.0,0,1
94,1.0,0.0,0.0,1.0,2.8637333330000003,0.0,11.17061667,-9999.0,-9999.0,-9999.0,-9999.0,15087.0,16384.0,-1297.0,23898.0,24689.0,-791.0,19398.0,19207.0,191.0,318.0,356.0,-38.0,531.0,577.0,-46.0,1,0
95,0.0,1.0,1.0,0.0,2.8637333330000003,1.0,11.17061667,-9999.0,-9999.0,-9999.0,-9999.0,16384.0,15087.0,1297.0,24689.0,23898.0,791.0,19207.0,19398.0,-191.0,356.0,318.0,38.0,577.0,531.0,46.0,0,1
106,1.0,0.0,0.0,1.0,5.1751833330000006,-9999.0,-9999.0,-9999.0,-9999.0,0.0,14.79845,15618.0,15436.0,182.0,24015.0,24114.0,-99.0,18984.0,18319.0,665.0,327.0,330.0,-3.0,543.0,524.0,19.0,1,0
107,0.0,1.0,1.0,0.0,5.1751833330000006,-9999.0,-9999.0,-9999.0,-9999.0,1.0,14.79845,15436.0,15618.0,-182.0,24114.0,24015.0,99.0,18319.0,18984.0,-665.0,330.0,327.0,3.0,524.0,543.0,-19.0,0,1
118,1.0,1.0,1.0,0.0,5.1842,1.0,12.78083333,1.0,14.29736667,-9999.0,-9999.0,16105.0,14944.0,1161.0,24967.0,22873.0,2094.0,18675.0,17998.0,677.0,336.0,317.0,19.0,569.0,516.0,53.0,1,0
119,0.0,0.0,0.0,1.0,5.1842,0.0,12.78083333,0.0,14.29736667,-9999.0,-9999.0,14944.0,16105.0,-1161.0,22873.0,24967.0,-2094.0,17998.0,18675.0,-677.0,317.0,336.0,-19.0,516.0,569.0,-53.0,0,1
130,1.0,0.0,0.0,1.0,3.472633333,1.0,14.97093333,1.0,14.67296667,1.0,14.04743333,15372.0,15645.0,-273.0,25724.0,23370.0,2354.0,18357.0,17952.0,405.0,319.0,337.0,-18.0,550.0,538.0,12.0,1,0
131,0.0,1.0,1.0,0.0,3.472633333,0.0,14.97093333,0.0,14.67296667,0.0,14.04743333,15645.0,15372.0,273.0,23370.0,25724.0,-2354.0,17952.0,18357.0,-405.0,337.0,319.0,18.0,538.0,550.0,-12.0,0,1
142,1.0,1.0,1.0,0.0,3.3234,1.0,13.56005,-9999.0,-9999.0,1.0,10.70851667,16145.0,16059.0,86.0,25705.0,24028.0,1677.0,18898.0,20044.0,-1146.0,339.0,380.0,-41.0,557.0,592.0,-35.0,1,0
143,0.0,0.0,0.0,1.0,3.3234,0.0,13.56005,-9999.0,-9999.0,0.0,10.70851667,16059.0,16145.0,-86.0,24028.0,25705.0,-1677.0,20044.0,18898.0,1146.0,380.0,339.0,41.0,592.0,557.0,35.0,0,1
154,1.0,1.0,1.0,0.0,0.6598,1.0,14.71356667,-9999.0,-9999.0,-9999.0,-9999.0,16217.0,14934.0,1283.0,24499.0,23410.0,1089.0,19423.0,18419.0,1004.0,347.0,337.0,10.0,571.0,543.0,28.0,1,0
155,0.0,0.0,0.0,1.0,0.6598,0.0,14.71356667,-9999.0,-9999.0,-9999.0,-9999.0,14934.0,16217.0,-1283.0,23410.0,24499.0,-1089.0,18419.0,19423.0,-1004.0,337.0,347.0,-10.0,543.0,571.0,-28.0,0,1
166,0.0,0.0,0.0,1.0,8.565483333,0.0,11.26183333,-9999.0,-9999.0,1.0,14.981,15611.0,16758.0,-1147.0,24945.0,24862.0,83.0,18841.0,19692.0,-851.0,370.0,347.0,23.0,572.0,557.0,15.0,1,0
167,1.0,1.0,1.0,0.0,8.565483333,1.0,11.26183333,-9999.0,-9999.0,0.0,14.981,16758.0,15611.0,1147.0,24862.0,24945.0,-83.0,19692.0,18841.0,851.0,347.0,370.0,-23.0,557.0,572.0,-15.0,0,1
178,0.0,0.0,0.0,1.0,6.2912,0.0,9.419783333,0.0,14.41463333,0.0,9.18085,14619.0,17509.0,-2890.0,22634.0,26370.0,-3736.0,18000.0,18309.0,-309.0,331.0,297.0,34.0,534.0,525.0,9.0,1,0
179,1.0,1.0,1.0,0.0,6.2912,1.0,9.419783333,1.0,14.41463333,1.0,9.18085,17509.0,14619.0,2890.0,26370.0,22634.0,3736.0,18309.0,18000.0,309.0,297.0,331.0,-34.0,525.0,534.0,-9.0,0,1
190,0.0,1.0,1.0,0.0,3.067533333,1.0,7.861983332999999,-9999.0,-9999.0,0.0,14.1802,15779.0,15891.0,-112.0,23858.0,25865.0,-2007.0,18220.0,19946.0,-1726.0,347.0,357.0,-10.0,562.0,592.0,-30.0,1,0
