,side,gamelength,result,k,d,a,teamkills,teamdeaths,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
10,Blue,35.53333333,0.0,8.0,14.0,18.0,8.0,14.0,1.0,1.0,0.0,2.6232666669999998,0.22514071300000002,0.393996248,0.619136961,0.0,13.84395,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.4422,0.0,16.00375,0.0,0.0,3.0,7.0,1.0,31.62103333,1.0,0.0,60170.0,1693.3395870000002,182.0,5.12195122,1.0,80.0,2.251407129,37.0,43.0,0.666666667,0.352941176,64781.0,1172.324578,60935.0,-0.032927125,1136.0,194.0,142.0,3.0,37.42964353,16294.0,15020.0,1274.0,24173.0,24228.0,-55.0,19103.0,17702.0,1401.0,354.0,331.0,23.0,560.0,572.0,-12.0
11,Red,35.53333333,1.0,14.0,8.0,27.0,14.0,8.0,0.0,0.0,1.0,2.6232666669999998,0.393996248,0.22514071300000002,0.619136961,1.0,13.84395,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,16.4422,1.0,16.00375,1.0,1.0,7.0,3.0,0.0,31.62103333,0.0,1.0,57825.0,1627.345216,154.0,4.3339587239999995,1.0,90.0,2.532833021,42.0,47.0,0.609756098,0.329787234,70169.0,1323.956848,62975.0,0.032927125,1276.0,244.0,161.0,24.0,42.77673546,15020.0,16294.0,-1274.0,24228.0,24173.0,55.0,17702.0,19103.0,-1401.0,331.0,354.0,-23.0,572.0,560.0,12.0
22,Blue,32.95,1.0,11.0,8.0,26.0,11.0,8.0,0.0,0.0,1.0,5.040316667,0.33383915,0.24279210899999998,0.576631259,0.0,11.57186667,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.34468333,0.0,14.51493333,1.0,1.0,11.0,2.0,1.0,26.70905,1.0,0.0,75280.0,2284.673748,144.0,4.370257967,1.0,71.0,2.15477997,31.0,38.0,0.588235294,0.295918367,70918.0,1498.47041,67703.0,0.175581227,1091.0,222.0,134.0,32.0,39.84825493,16029.0,16503.0,-474.0,25063.0,26465.0,-1402.0,19035.0,19811.0,-776.0,355.0,375.0,-20.0,561.0,600.0,-39.0
23,Red,32.95,0.0,8.0,11.0,14.0,8.0,11.0,1.0,1.0,0.0,5.040316667,0.24279210899999998,0.33383915,0.576631259,1.0,11.57186667,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.34468333,1.0,14.51493333,0.0,0.0,2.0,11.0,0.0,26.70905,0.0,1.0,52239.0,1585.402124,167.0,5.0682852810000005,1.0,58.0,1.760242792,31.0,33.0,0.783783784,0.12658227800000002,61075.0,1199.745068,56775.0,-0.175581227,1163.0,177.0,120.0,20.0,40.6676783,16503.0,16029.0,474.0,26465.0,25063.0,1402.0,19811.0,19035.0,776.0,375.0,355.0,20.0,600.0,561.0,39.0
34,Blue,29.5,1.0,10.0,0.0,25.0,10.0,0.0,1.0,1.0,0.0,1.9959,0.33898305100000004,0.0,0.33898305100000004,1.0,15.5419,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,19.2837,1.0,15.02568333,1.0,1.0,8.0,0.0,0.0,25.55563333,0.0,1.0,39123.0,1326.2033900000001,136.0,4.610169492,1.0,74.0,2.508474576,34.0,34.0,0.709677419,0.21875,55810.0,1233.152542,46425.0,-0.028034406,985.0,170.0,105.0,39.0,39.15254237,16349.0,15986.0,363.0,24473.0,24551.0,-78.0,19772.0,18473.0,1299.0,349.0,338.0,11.0,581.0,557.0,24.0
35,Red,29.5,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,1.0,1.9959,0.0,0.33898305100000004,0.33898305100000004,0.0,15.5419,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2837,0.0,15.02568333,0.0,0.0,0.0,8.0,1.0,25.55563333,1.0,0.0,28239.0,957.2542373,164.0,5.559322034,1.0,57.0,1.93220339,26.0,30.0,0.512820513,0.263157895,50088.0,1039.186441,47745.0,0.028034406,944.0,156.0,107.0,4.0,37.28813559,15986.0,16349.0,-363.0,24551.0,24473.0,78.0,18473.0,19772.0,-1299.0,338.0,349.0,-11.0,557.0,581.0,-24.0
46,Blue,31.36666667,1.0,12.0,6.0,42.0,12.0,6.0,0.0,0.0,1.0,9.18115,0.38257173200000005,0.19128586600000003,0.573857598,1.0,9.122166667,4.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,19.29175,1.0,13.95958333,1.0,1.0,11.0,0.0,1.0,21.84853333,2.0,0.0,62602.0,1995.8129649999998,164.0,5.22848034,1.0,74.0,2.359192349,42.0,46.0,0.7428571429999999,0.356321839,63272.0,1361.241233,54435.0,0.148714659,886.0,234.0,127.0,35.0,35.70669501,14313.0,16177.0,-1864.0,22964.0,24276.0,-1312.0,17428.0,18589.0,-1161.0,322.0,331.0,-9.0,526.0,536.0,-10.0
47,Red,31.36666667,0.0,6.0,12.0,16.0,6.0,12.0,1.0,1.0,0.0,9.18115,0.19128586600000003,0.38257173200000005,0.573857598,0.0,9.122166667,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.29175,0.0,13.95958333,0.0,0.0,0.0,11.0,0.0,21.84853333,0.0,2.0,57234.0,1824.675877,156.0,4.973432519,1.0,56.0,1.78533475,31.0,38.0,0.520833333,0.25974026,48185.0,880.2529224,46900.0,-0.148714659,969.0,123.0,105.0,8.0,34.81402763,16177.0,14313.0,1864.0,24276.0,22964.0,1312.0,18589.0,17428.0,1161.0,331.0,322.0,9.0,536.0,526.0,10.0
58,Blue,43.98333333,0.0,8.0,15.0,25.0,8.0,15.0,0.0,0.0,1.0,8.459083332999999,0.181887078,0.34103827200000003,0.522925351,1.0,9.000483333,2.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,12.99435,1.0,11.85475,0.0,0.0,2.0,11.0,0.0,28.8616,0.0,3.0,110456.0,2511.3148920000003,289.0,6.570670709,1.0,95.0,2.159909056,41.0,41.0,0.5,0.344827586,79741.0,1169.652141,74458.0,-0.113470955,1469.0,217.0,163.0,5.0,38.33270178,16015.0,16662.0,-647.0,25668.0,25462.0,206.0,19143.0,20146.0,-1003.0,366.0,390.0,-24.0,572.0,609.0,-37.0
59,Red,43.98333333,1.0,15.0,8.0,42.0,15.0,8.0,1.0,1.0,0.0,8.459083332999999,0.34103827200000003,0.181887078,0.522925351,0.0,9.000483333,3.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.99435,0.0,11.85475,1.0,1.0,11.0,2.0,1.0,28.8616,3.0,0.0,101009.0,2296.528988,212.0,4.820007578999999,1.0,129.0,2.93292914,54.0,55.0,0.72,0.243902439,88409.0,1366.72679,83415.0,0.113470955,1337.0,263.0,166.0,25.0,36.37741569,16662.0,16015.0,647.0,25462.0,25668.0,-206.0,20146.0,19143.0,1003.0,390.0,366.0,24.0,609.0,572.0,37.0
