,result,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,herald,heraldtime,ft,fttime,dmgtochampsperminute,wpm,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,earnedgpm,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15,side_Blue,side_Red
10,0.0,1.0,1.0,0.0,2.623266667,0.225140713,0.393996248,0.619136961,0.0,13.84395,-9999.0,-9999.0,-9999.0,-9999.0,1693.3395870000004,5.12195122,2.251407129,1.0412757974710392,1.2101313321960725,0.666666667,0.352941176,1172.324578,5.459662289442745,3.996247655159123,0.08442776736251668,37.42964353,16294.0,15020.0,1274.0,24173.0,24228.0,-55.0,19103.0,17702.0,1401.0,354.0,331.0,23.0,560.0,572.0,-12.0,1,0
11,1.0,0.0,0.0,1.0,2.623266667,0.393996248,0.225140713,0.619136961,1.0,13.84395,-9999.0,-9999.0,-9999.0,-9999.0,1627.345216,4.333958724,2.532833021,1.1819887430752336,1.322701688679428,0.609756098,0.329787234,1323.956848,6.86679174548469,4.5309568484550615,0.6754221389001335,42.77673546,15020.0,16294.0,-1274.0,24228.0,24173.0,55.0,17702.0,19103.0,-1401.0,331.0,354.0,-23.0,572.0,560.0,12.0,0,1
22,1.0,0.0,0.0,1.0,5.040316667,0.33383915,0.242792109,0.576631259,0.0,11.57186667,1.0,11.34468333,0.0,14.51493333,2284.673748,4.370257967,2.15477997,0.9408194233687405,1.1532625189681334,0.588235294,0.295918367,1498.47041,6.737481031866464,4.0667678300455234,0.9711684370257966,39.84825493,16029.0,16503.0,-474.0,25063.0,26465.0,-1402.0,19035.0,19811.0,-776.0,355.0,375.0,-20.0,561.0,600.0,-39.0,1,0
23,0.0,1.0,1.0,0.0,5.040316667,0.242792109,0.33383915,0.576631259,1.0,11.57186667,0.0,11.34468333,1.0,14.51493333,1585.402124,5.0682852810000005,1.760242792,0.9408194233687405,1.0015174506828528,0.783783784,0.12658227800000002,1199.745068,5.371775417298937,3.641881638846737,0.6069802731411229,40.6676783,16503.0,16029.0,474.0,26465.0,25063.0,1402.0,19811.0,19035.0,776.0,375.0,355.0,20.0,600.0,561.0,39.0,0,1
34,1.0,1.0,1.0,0.0,1.9959,0.33898305100000004,0.0,0.33898305100000004,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1326.20339,4.610169492,2.508474576,1.152542372881356,1.152542372881356,0.709677419,0.21875,1233.152542,5.762711864406779,3.559322033898305,1.3220338983050848,39.15254237,16349.0,15986.0,363.0,24473.0,24551.0,-78.0,19772.0,18473.0,1299.0,349.0,338.0,11.0,581.0,557.0,24.0,1,0
35,0.0,0.0,0.0,1.0,1.9959,0.0,0.33898305100000004,0.33898305100000004,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,957.2542373,5.559322034,1.93220339,0.8813559322033898,1.0169491525423728,0.512820513,0.263157895,1039.186441,5.288135593220339,3.6271186440677967,0.13559322033898305,37.28813559,15986.0,16349.0,-363.0,24551.0,24473.0,78.0,18473.0,19772.0,-1299.0,338.0,349.0,-11.0,557.0,581.0,-24.0,0,1
46,1.0,0.0,0.0,1.0,9.18115,0.3825717320000001,0.19128586600000005,0.573857598,1.0,9.122166667,-9999.0,-9999.0,1.0,13.95958333,1995.812965,5.22848034,2.359192349,1.3390010625569606,1.466524973276671,0.7428571429999999,0.356321839,1361.241233,7.460148777103066,4.04888416535081,1.115834218797467,35.70669501,14313.0,16177.0,-1864.0,22964.0,24276.0,-1312.0,17428.0,18589.0,-1161.0,322.0,331.0,-9.0,526.0,536.0,-10.0,1,0
47,0.0,1.0,1.0,0.0,9.18115,0.19128586600000005,0.3825717320000001,0.573857598,0.0,9.122166667,-9999.0,-9999.0,0.0,13.95958333,1824.675877,4.973432519,1.78533475,0.9883103080777565,1.21147715183725,0.520833333,0.25974026,880.2529224,3.921360254631099,3.3475026563924013,0.25504782143942106,34.81402763,16177.0,14313.0,1864.0,24276.0,22964.0,1312.0,18589.0,17428.0,1161.0,331.0,322.0,9.0,536.0,526.0,10.0,0,1
58,0.0,0.0,0.0,1.0,8.459083332999999,0.181887078,0.34103827200000003,0.522925351,1.0,9.000483333,1.0,12.99435,1.0,11.85475,2511.314892000001,6.570670709,2.159909056,0.932171277069509,0.932171277069509,0.5,0.344827586,1169.652141,4.933687003026425,3.7059492234714626,0.11367942403286695,38.33270178,16015.0,16662.0,-647.0,25668.0,25462.0,206.0,19143.0,20146.0,-1003.0,366.0,390.0,-24.0,572.0,609.0,-37.0,1,0
59,1.0,1.0,1.0,0.0,8.459083332999999,0.34103827200000003,0.181887078,0.522925351,0.0,9.000483333,0.0,12.99435,0.0,11.85475,2296.528988,4.820007578999999,2.93292914,1.227737779554963,1.2504736643615364,0.72,0.243902439,1366.72679,5.979537704128801,3.774156877891183,0.5683971201643347,36.37741569,16662.0,16015.0,647.0,25462.0,25668.0,-206.0,20146.0,19143.0,1003.0,390.0,366.0,24.0,609.0,572.0,37.0,0,1
